freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
15.140281,-2705.505739,305.3754,-1352.806203,610.7748,-604.999686,1365.7483,-270.564654,3053.9124
15.238477,-2714.266124,306.3642,-1357.186224,612.7523,-606.958470,1370.1701,-271.440647,3063.7999
15.336673,-2722.998326,307.3498,-1361.552154,614.7235,-608.910953,1374.5777,-272.313822,3073.6556
15.434870,-2731.702613,308.3322,-1365.904129,616.6883,-610.857196,1378.9712,-273.184206,3083.4798
15.533066,-2740.379254,309.3116,-1370.242282,618.6470,-612.797257,1383.3508,-274.051826,3093.2728
15.631263,-2749.028509,310.2878,-1374.566744,620.5994,-614.731195,1387.7166,-274.916708,3103.0349
15.729459,-2757.650636,311.2610,-1378.877643,622.5457,-616.659068,1392.0686,-275.778877,3112.7663
15.827655,-2766.245889,312.2312,-1383.175107,624.4860,-618.580933,1396.4071,-276.638360,3122.4675
15.925852,-2774.814517,313.1984,-1387.459260,626.4202,-620.496845,1400.7321,-277.495180,3132.1386
16.024048,-2783.356767,314.1625,-1391.730225,628.3485,-622.406860,1405.0439,-278.349363,3141.7799
16.122244,-2791.872880,315.1238,-1395.988124,630.2709,-624.311031,1409.3424,-279.200932,3151.3917
16.220441,-2800.363095,316.0821,-1400.233075,632.1874,-626.209412,1413.6279,-280.049912,3160.9743
16.318637,-2808.827647,317.0375,-1404.465195,634.0982,-628.102056,1417.9004,-280.896327,3170.5279
16.416834,-2817.266768,317.9900,-1408.684602,636.0032,-629.989013,1422.1601,-281.740198,3180.0528
16.515030,-2825.680684,318.9397,-1412.891407,637.9025,-631.870336,1426.4071,-282.581549,3189.5493
16.613226,-2834.069621,319.8866,-1417.085724,639.7962,-633.746073,1430.6414,-283.420403,3199.0176
16.711423,-2842.433799,320.8307,-1421.267664,641.6843,-635.616276,1434.8633,-284.256781,3208.4580
