h2_um,eta2_Pas,T_abs
41.5859,0.114976,0.00000000
42.0808,0.114976,0.00000000
42.5758,0.114976,0.00000000
43.0707,0.114976,0.00000000
43.5657,0.114976,0.00000000
44.0606,0.114976,0.00000000
44.5556,0.114976,0.00000000
45.0505,0.114976,0.00000000
45.5455,0.114976,0.00000000
46.0404,0.114976,0.00000000
46.5354,0.114976,0.00000000
47.0303,0.114976,0.00000000
47.5253,0.114976,0.00000000
48.0202,0.114976,0.00000000
48.5152,0.114976,0.00000000
49.0101,0.114976,0.00000000
49.5051,0.114976,0.00000000
50.0000,0.114976,0.00000000
1.0000,0.123285,0.05266082
1.4949,0.123285,0.03469791
1.9899,0.123285,0.02471128
2.4848,0.123285,0.01783195
2.9798,0.123285,0.01273037
3.4747,0.123285,0.00897543
3.9697,0.123285,0.00628556
4.4646,0.123285,0.00439346
4.9596,0.123285,0.00307159
5.4545,0.123285,0.00214875
5.9495,0.123285,0.00150377
6.4444,0.123285,0.00105255
6.9394,0.123285,0.00073673
7.4343,0.123285,0.00051567
7.9293,0.123285,0.00036092
8.4242,0.123285,0.00025261
8.9192,0.123285,0.00017681
9.4141,0.123285,0.00012375
9.9091,0.123285,0.00008661
10.4040,0.123285,0.00006062
10.8990,0.123285,0.00004243
11.3939,0.123285,0.00002970
11.8889,0.123285,0.00002079
12.3838,0.123285,0.00001455
12.8788,0.123285,0.00001018
13.3737,0.123285,0.00000713
13.8687,0.123285,0.00000499
14.3636,0.123285,0.00000349
14.8586,0.123285,0.00000244
15.3535,0.123285,0.00000171
15.8485,0.123285,0.00000120
16.3434,0.123285,0.00000084
16.8384,0.123285,0.00000059
17.3333,0.123285,0.00000041
17.8283,0.123285,0.00000029
18.3232,0.123285,0.00000020
18.8182,0.123285,0.00000014
19.3131,0.123285,0.00000010
19.8081,0.123285,0.00000007
20.3030,0.123285,0.00000005
20.7980,0.123285,0.00000003
21.2929,0.123285,0.00000002
21.7879,0.123285,0.00000002
22.2828,0.123285,0.00000001
22.7778,0.123285,0.00000001
23.2727,0.123285,0.00000001
23.7677,0.123285,0.00000000
24.2626,0.123285,0.00000000
24.7576,0.123285,0.00000000
25.2525,0.123285,0.00000000
25.7475,0.123285,0.00000000
26.2424,0.123285,0.00000000
26.7374,0.123285,0.00000000
27.2323,0.123285,0.00000000
27.7273,0.123285,0.00000000
28.2222,0.123285,0.00000000
28.7172,0.123285,0.00000000
29.2121,0.123285,0.00000000
29.7071,0.123285,0.00000000
30.2020,0.123285,0.00000000
30.6970,0.123285,0.00000000
31.1919,0.123285,0.00000000
31.6869,0.123285,0.00000000
32.1818,0.123285,0.00000000
32.6768,0.123285,0.00000000
33.1717,0.123285,0.00000000
33.6667,0.123285,0.00000000
34.1616,0.123285,0.00000000
34.6566,0.123285,0.00000000
35.1515,0.123285,0.00000000
35.6465,0.123285,0.00000000
36.1414,0.123285,0.00000000
36.6364,0.123285,0.00000000
37.1313,0.123285,0.00000000
37.6263,0.123285,0.00000000
38.1212,0.123285,0.00000000
38.6162,0.123285,0.00000000
39.1111,0.123285,0.00000000
39.6061,0.123285,0.00000000
40.1010,0.123285,0.00000000
40.5960,0.123285,0.00000000
41.0909,0.123285,0.00000000
41.5859,0.123285,0.00000000
42.0808,0.123285,0.00000000
42.5758,0.123285,0.00000000
43.0707,0.123285,0.00000000
43.5657,0.123285,0.00000000
44.0606,0.123285,0.00000000
44.5556,0.123285,0.00000000
45.0505,0.123285,0.00000000
45.5455,0.123285,0.00000000
46.0404,0.123285,0.00000000
46.5354,0.123285,0.00000000
47.0303,0.123285,0.00000000
47.5253,0.123285,0.00000000
48.0202,0.123285,0.00000000
48.5152,0.123285,0.00000000
49.0101,0.123285,0.00000000
49.5051,0.123285,0.00000000
50.0000,0.123285,0.00000000
1.0000,0.132194,0.05645712
1.4949,0.132194,0.03732453
1.9899,0.132194,0.02677629
2.4848,0.132194,0.01954803
2.9798,0.132194,0.01415381
3.4747,0.132194,0.01012220
3.9697,0.132194,0.00718364
4.4646,0.132194,0.00508425
4.9596,0.132194,0.00359781
5.4545,0.132194,0.00254736
5.9495,0.132194,0.00180447
6.4444,0.132194,0.00127851
6.9394,0.132194,0.00090591
7.4343,0.132194,0.00064189
7.9293,0.132194,0.00045480
8.4242,0.132194,0.00032224
8.9192,0.132194,0.00022831
9.4141,0.132194,0.00016176
9.9091,0.132194,0.00011461
10.4040,0.132194,0.00008121
10.8990,0.132194,0.00005754
11.3939,0.132194,0.00004077
11.8889,0.132194,0.00002888
12.3838,0.132194,0.00002046
12.8788,0.132194,0.00001450
13.3737,0.132194,0.00001027
13.8687,0.132194,0.00000728
14.3636,0.132194,0.00000516
14.8586,0.132194,0.00000365
15.3535,0.132194,0.00000259
15.8485,0.132194,0.00000183
16.3434,0.132194,0.00000130
16.8384,0.132194,0.00000092
17.3333,0.132194,0.00000065
17.8283,0.132194,0.00000046
18.3232,0.132194,0.00000033
18.8182,0.132194,0.00000023
19.3131,0.132194,0.00000016
19.8081,0.132194,0.00000012
20.3030,0.132194,0.00000008
20.7980,0.132194,0.00000006
21.2929,0.132194,0.00000004
21.7879,0.132194,0.00000003
22.2828,0.132194,0.00000002
22.7778,0.132194,0.00000001
23.2727,0.132194,0.00000001
23.7677,0.132194,0.00000001
24.2626,0.132194,0.00000001
24.7576,0.132194,0.00000000
25.2525,0.132194,0.00000000
25.7475,0.132194,0.00000000
26.2424,0.132194,0.00000000
26.7374,0.132194,0.00000000
27.2323,0.132194,0.00000000
27.7273,0.132194,0.00000000
28.2222,0.132194,0.00000000
28.7172,0.132194,0.00000000
29.2121,0.132194,0.00000000
29.7071,0.132194,0.00000000
30.2020,0.132194,0.00000000
30.6970,0.132194,0.00000000
31.1919,0.132194,0.00000000
31.6869,0.132194,0.00000000
32.1818,0.132194,0.00000000
32.6768,0.132194,0.00000000
33.1717,0.132194,0.00000000
33.6667,0.132194,0.00000000
34.1616,0.132194,0.00000000
34.6566,0.132194,0.00000000
35.1515,0.132194,0.00000000
35.6465,0.132194,0.00000000
36.1414,0.132194,0.00000000
36.6364,0.132194,0.00000000
37.1313,0.132194,0.00000000
37.6263,0.132194,0.00000000
38.1212,0.132194,0.00000000
38.6162,0.132194,0.00000000
39.1111,0.132194,0.00000000
39.6061,0.132194,0.00000000
40.1010,0.132194,0.00000000
40.5960,0.132194,0.00000000
41.0909,0.132194,0.00000000
41.5859,0.132194,0.00000000
42.0808,0.132194,0.00000000
42.5758,0.132194,0.00000000
43.0707,0.132194,0.00000000
43.5657,0.132194,0.00000000
44.0606,0.132194,0.00000000
44.5556,0.132194,0.00000000
45.0505,0.132194,0.00000000
45.5455,0.132194,0.00000000
46.0404,0.132194,0.00000000
46.5354,0.132194,0.00000000
47.0303,0.132194,0.00000000
47.5253,0.132194,0.00000000
48.0202,0.132194,0.00000000
48.5152,0.132194,0.00000000
49.0101,0.132194,0.00000000
49.5051,0.132194,0.00000000
50.0000,0.132194,0.00000000
1.0000,0.141747,0.06051652
1.4949,0.141747,0.04012902
1.9899,0.141747,0.02897657
2.4848,0.141747,0.02138121
2.9798,0.141747,0.01568970
3.4747,0.141747,0.01137742
3.9697,0.141747,0.00818101
4.4646,0.141747,0.00586146
4.9596,0.141747,0.00419685
5.4545,0.141747,0.00300625
5.9495,0.141747,0.00215452
6.4444,0.141747,0.00154457
6.9394,0.141747,0.00110741
7.4343,0.141747,0.00079399
7.9293,0.141747,0.00056926
8.4242,0.141747,0.00040813
8.9192,0.141747,0.00029261
9.4141,0.141747,0.00020978
9.9091,0.141747,0.00015040
10.4040,0.141747,0.00010783
10.8990,0.141747,0.00007731
11.3939,0.141747,0.00005542
11.8889,0.141747,0.00003974
12.3838,0.141747,0.00002849
12.8788,0.141747,0.00002042
13.3737,0.141747,0.00001464
13.8687,0.141747,0.00001050
14.3636,0.141747,0.00000753
14.8586,0.141747,0.00000540
15.3535,0.141747,0.00000387
15.8485,0.141747,0.00000277
16.3434,0.141747,0.00000199
16.8384,0.141747,0.00000143
17.3333,0.141747,0.00000102
17.8283,0.141747,0.00000073
18.3232,0.141747,0.00000053
18.8182,0.141747,0.00000038
19.3131,0.141747,0.00000027
19.8081,0.141747,0.00000019
20.3030,0.141747,0.00000014
20.7980,0.141747,0.00000010
21.2929,0.141747,0.00000007
21.7879,0.141747,0.00000005
22.2828,0.141747,0.00000004
22.7778,0.141747,0.00000003
23.2727,0.141747,0.00000002
23.7677,0.141747,0.00000001
24.2626,0.141747,0.00000001
24.7576,0.141747,0.00000001
25.2525,0.141747,0.00000000
25.7475,0.141747,0.00000000
26.2424,0.141747,0.00000000
26.7374,0.141747,0.00000000
27.2323,0.141747,0.00000000
27.7273,0.141747,0.00000000
28.2222,0.141747,0.00000000
28.7172,0.141747,0.00000000
29.2121,0.141747,0.00000000
29.7071,0.141747,0.00000000
30.2020,0.141747,0.00000000
30.6970,0.141747,0.00000000
31.1919,0.141747,0.00000000
31.6869,0.141747,0.00000000
32.1818,0.141747,0.00000000
32.6768,0.141747,0.00000000
33.1717,0.141747,0.00000000
33.6667,0.141747,0.00000000
34.1616,0.141747,0.00000000
34.6566,0.141747,0.00000000
35.1515,0.141747,0.00000000
35.6465,0.141747,0.00000000
36.1414,0.141747,0.00000000
36.6364,0.141747,0.00000000
37.1313,0.141747,0.00000000
37.6263,0.141747,0.00000000
38.1212,0.141747,0.00000000
38.6162,0.141747,0.00000000
39.1111,0.141747,0.00000000
39.6061,0.141747,0.00000000
40.1010,0.141747,0.00000000
40.5960,0.141747,0.00000000
41.0909,0.141747,0.00000000
41.5859,0.141747,0.00000000
42.0808,0.141747,0.00000000
42.5758,0.141747,0.00000000
43.0707,0.141747,0.00000000
43.5657,0.141747,0.00000000
44.0606,0.141747,0.00000000
44.5556,0.141747,0.00000000
45.0505,0.141747,0.00000000
45.5455,0.141747,0.00000000
46.0404,0.141747,0.00000000
46.5354,0.141747,0.00000000
47.0303,0.141747,0.00000000
47.5253,0.141747,0.00000000
48.0202,0.141747,0.00000000
48.5152,0.141747,0.00000000
49.0101,0.141747,0.00000000
49.5051,0.141747,0.00000000
50.0000,0.141747,0.00000000
1.0000,0.151991,0.06485696
1.4949,0.151991,0.04312400
1.9899,0.151991,0.03132122
2.4848,0.151991,0.02333752
2.9798,0.151991,0.01734264
3.4747,0.151991,0.01274647
3.9697,0.151991,0.00928441
4.4646,0.151991,0.00673255
4.9596,0.151991,0.00487612
5.4545,0.151991,0.00353232
5.9495,0.151991,0.00256016
6.4444,0.151991,0.00185625
6.9394,0.151991,0.00134610
7.4343,0.151991,0.00097620
7.9293,0.151991,0.00070794
8.4242,0.151991,0.00051338
8.9192,0.151991,0.00037229
9.4141,0.151991,0.00026997
9.9091,0.151991,0.00019577
10.4040,0.151991,0.00014197
10.8990,0.151991,0.00010295
11.3939,0.151991,0.00007466
11.8889,0.151991,0.00005414
12.3838,0.151991,0.00003926
12.8788,0.151991,0.00002847
13.3737,0.151991,0.00002065
13.8687,0.151991,0.00001497
14.3636,0.151991,0.00001086
14.8586,0.151991,0.00000787
15.3535,0.151991,0.00000571
15.8485,0.151991,0.00000414
16.3434,0.151991,0.00000300
16.8384,0.151991,0.00000218
17.3333,0.151991,0.00000158
17.8283,0.151991,0.00000114
18.3232,0.151991,0.00000083
18.8182,0.151991,0.00000060
19.3131,0.151991,0.00000044
19.8081,0.151991,0.00000032
20.3030,0.151991,0.00000023
20.7980,0.151991,0.00000017
21.2929,0.151991,0.00000012
21.7879,0.151991,0.00000009
22.2828,0.151991,0.00000006
22.7778,0.151991,0.00000005
23.2727,0.151991,0.00000003
23.7677,0.151991,0.00000002
24.2626,0.151991,0.00000002
24.7576,0.151991,0.00000001
25.2525,0.151991,0.00000001
25.7475,0.151991,0.00000001
26.2424,0.151991,0.00000000
26.7374,0.151991,0.00000000
27.2323,0.151991,0.00000000
27.7273,0.151991,0.00000000
28.2222,0.151991,0.00000000
28.7172,0.151991,0.00000000
29.2121,0.151991,0.00000000
29.7071,0.151991,0.00000000
30.2020,0.151991,0.00000000
30.6970,0.151991,0.00000000
31.1919,0.151991,0.00000000
31.6869,0.151991,0.00000000
32.1818,0.151991,0.00000000
32.6768,0.151991,0.00000000
33.1717,0.151991,0.00000000
33.6667,0.151991,0.00000000
34.1616,0.151991,0.00000000
34.6566,0.151991,0.00000000
35.1515,0.151991,0.00000000
35.6465,0.151991,0.00000000
36.1414,0.151991,0.00000000
36.6364,0.151991,0.00000000
37.1313,0.151991,0.00000000
37.6263,0.151991,0.00000000
38.1212,0.151991,0.00000000
38.6162,0.151991,0.00000000
39.1111,0.151991,0.00000000
39.6061,0.151991,0.00000000
40.1010,0.151991,0.00000000
40.5960,0.151991,0.00000000
41.0909,0.151991,0.00000000
41.5859,0.151991,0.00000000
42.0808,0.151991,0.00000000
42.5758,0.151991,0.00000000
43.0707,0.151991,0.00000000
43.5657,0.151991,0.00000000
44.0606,0.151991,0.00000000
44.5556,0.151991,0.00000000
45.0505,0.151991,0.00000000
45.5455,0.151991,0.00000000
46.0404,0.151991,0.00000000
46.5354,0.151991,0.00000000
47.0303,0.151991,0.00000000
47.5253,0.151991,0.00000000
48.0202,0.151991,0.00000000
48.5152,0.151991,0.00000000
49.0101,0.151991,0.00000000
49.5051,0.151991,0.00000000
50.0000,0.151991,0.00000000
1.0000,0.162975,0.06949743
1.4949,0.162975,0.04632294
1.9899,0.162975,0.03382014
2.4848,0.162975,0.02542370
2.9798,0.162975,0.01911752
3.4747,0.162975,0.01423457
3.9697,0.162975,0.01050048
4.4646,0.162975,0.00770512
4.9596,0.162975,0.00564339
5.4545,0.162975,0.00413295
5.9495,0.162975,0.00302814
6.4444,0.162975,0.00221960
6.9394,0.162975,0.00162734
7.4343,0.162975,0.00119321
7.9293,0.162975,0.00087491
8.4242,0.162975,0.00064150
8.9192,0.162975,0.00047035
9.4141,0.162975,0.00034486
9.9091,0.162975,0.00025285
10.4040,0.162975,0.00018539
10.8990,0.162975,0.00013593
11.3939,0.162975,0.00009966
11.8889,0.162975,0.00007307
12.3838,0.162975,0.00005358
12.8788,0.162975,0.00003928
13.3737,0.162975,0.00002880
13.8687,0.162975,0.00002112
14.3636,0.162975,0.00001548
14.8586,0.162975,0.00001135
15.3535,0.162975,0.00000832
15.8485,0.162975,0.00000610
16.3434,0.162975,0.00000447
16.8384,0.162975,0.00000328
17.3333,0.162975,0.00000241
17.8283,0.162975,0.00000176
18.3232,0.162975,0.00000129
18.8182,0.162975,0.00000095
19.3131,0.162975,0.00000070
19.8081,0.162975,0.00000051
20.3030,0.162975,0.00000037
20.7980,0.162975,0.00000027
21.2929,0.162975,0.00000020
21.7879,0.162975,0.00000015
22.2828,0.162975,0.00000011
22.7778,0.162975,0.00000008
