h2_um,E2_Pa,T_abs
26.2424,120.45,0.00414705
26.7374,120.45,0.00379549
27.2323,120.45,0.00347373
27.7273,120.45,0.00317925
28.2222,120.45,0.00290972
28.7172,120.45,0.00266303
29.2121,120.45,0.00243726
29.7071,120.45,0.00223062
30.2020,120.45,0.00204150
30.6970,120.45,0.00186841
31.1919,120.45,0.00170999
31.6869,120.45,0.00156500
32.1818,120.45,0.00143231
32.6768,120.45,0.00131086
33.1717,120.45,0.00119972
33.6667,120.45,0.00109799
34.1616,120.45,0.00100490
34.6566,120.45,0.00091969
35.1515,120.45,0.00084171
35.6465,120.45,0.00077034
36.1414,120.45,0.00070503
36.6364,120.45,0.00064525
37.1313,120.45,0.00059054
37.6263,120.45,0.00054047
38.1212,120.45,0.00049464
38.6162,120.45,0.00045270
39.1111,120.45,0.00041432
39.6061,120.45,0.00037919
40.1010,120.45,0.00034704
40.5960,120.45,0.00031761
41.0909,120.45,0.00029068
41.5859,120.45,0.00026603
42.0808,120.45,0.00024348
42.5758,120.45,0.00022283
43.0707,120.45,0.00020394
43.5657,120.45,0.00018665
44.0606,120.45,0.00017082
44.5556,120.45,0.00015634
45.0505,120.45,0.00014308
45.5455,120.45,0.00013095
46.0404,120.45,0.00011985
46.5354,120.45,0.00010969
47.0303,120.45,0.00010039
47.5253,120.45,0.00009187
48.0202,120.45,0.00008408
48.5152,120.45,0.00007696
49.0101,120.45,0.00007043
49.5051,120.45,0.00006446
50.0000,120.45,0.00005899
1.0000,132.19,0.67451338
1.4949,132.19,0.49611391
1.9899,132.19,0.39128121
2.4848,132.19,0.32287067
2.9798,132.19,0.27481059
3.4747,132.19,0.23916717
3.9697,132.19,0.21160448
4.4646,132.19,0.18956072
4.9596,132.19,0.17142764
5.4545,132.19,0.15614637
5.9495,132.19,0.14299346
6.4444,132.19,0.13146065
6.9394,132.19,0.12118403
7.4343,132.19,0.11190025
7.9293,132.19,0.10341823
8.4242,132.19,0.09560002
8.9192,132.19,0.08834710
9.4141,132.19,0.08159009
9.9091,132.19,0.07528070
10.4040,132.19,0.06938532
10.8990,132.19,0.06387999
11.3939,132.19,0.05874647
11.8889,132.19,0.05396940
12.3838,132.19,0.04953442
12.8788,132.19,0.04542698
13.3737,132.19,0.04163177
13.8687,132.19,0.03813260
14.3636,132.19,0.03491251
14.8586,132.19,0.03195406
15.3535,132.19,0.02923962
15.8485,132.19,0.02675174
16.3434,132.19,0.02447338
16.8384,132.19,0.02238817
17.3333,132.19,0.02048054
17.8283,132.19,0.01873587
18.3232,132.19,0.01714046
18.8182,132.19,0.01568166
19.3131,132.19,0.01434776
19.8081,132.19,0.01312800
20.3030,132.19,0.01201253
20.7980,132.19,0.01099234
21.2929,132.19,0.01005918
21.7879,132.19,0.00920556
22.2828,132.19,0.00842460
22.7778,132.19,0.00771007
23.2727,132.19,0.00705626
23.7677,132.19,0.00645797
24.2626,132.19,0.00591047
24.7576,132.19,0.00540941
25.2525,132.19,0.00495084
25.7475,132.19,0.00453116
26.2424,132.19,0.00414705
26.7374,132.19,0.00379549
27.2323,132.19,0.00347373
27.7273,132.19,0.00317925
28.2222,132.19,0.00290972
28.7172,132.19,0.00266303
29.2121,132.19,0.00243726
29.7071,132.19,0.00223062
30.2020,132.19,0.00204150
30.6970,132.19,0.00186841
31.1919,132.19,0.00170999
31.6869,132.19,0.00156500
32.1818,132.19,0.00143231
32.6768,132.19,0.00131086
33.1717,132.19,0.00119972
33.6667,132.19,0.00109799
34.1616,132.19,0.00100490
34.6566,132.19,0.00091969
35.1515,132.19,0.00084171
35.6465,132.19,0.00077034
36.1414,132.19,0.00070503
36.6364,132.19,0.00064525
37.1313,132.19,0.00059054
37.6263,132.19,0.00054047
38.1212,132.19,0.00049464
38.6162,132.19,0.00045270
39.1111,132.19,0.00041432
39.6061,132.19,0.00037919
40.1010,132.19,0.00034704
40.5960,132.19,0.00031761
41.0909,132.19,0.00029068
41.5859,132.19,0.00026603
42.0808,132.19,0.00024348
42.5758,132.19,0.00022283
43.0707,132.19,0.00020394
43.5657,132.19,0.00018665
44.0606,132.19,0.00017082
44.5556,132.19,0.00015634
45.0505,132.19,0.00014308
45.5455,132.19,0.00013095
46.0404,132.19,0.00011985
46.5354,132.19,0.00010969
47.0303,132.19,0.00010039
47.5253,132.19,0.00009187
48.0202,132.19,0.00008408
48.5152,132.19,0.00007696
49.0101,132.19,0.00007043
49.5051,132.19,0.00006446
50.0000,132.19,0.00005899
1.0000,145.08,0.67451337
1.4949,145.08,0.49611390
1.9899,145.08,0.39128121
2.4848,145.08,0.32287067
2.9798,145.08,0.27481059
3.4747,145.08,0.23916718
3.9697,145.08,0.21160449
4.4646,145.08,0.18956072
4.9596,145.08,0.17142764
5.4545,145.08,0.15614637
5.9495,145.08,0.14299346
6.4444,145.08,0.13146065
6.9394,145.08,0.12118404
7.4343,145.08,0.11190026
7.9293,145.08,0.10341823
8.4242,145.08,0.09560002
8.9192,145.08,0.08834710
9.4141,145.08,0.08159009
9.9091,145.08,0.07528070
10.4040,145.08,0.06938533
10.8990,145.08,0.06388000
11.3939,145.08,0.05874647
11.8889,145.08,0.05396940
12.3838,145.08,0.04953443
12.8788,145.08,0.04542698
13.3737,145.08,0.04163177
13.8687,145.08,0.03813260
14.3636,145.08,0.03491251
14.8586,145.08,0.03195406
15.3535,145.08,0.02923962
15.8485,145.08,0.02675174
16.3434,145.08,0.02447338
16.8384,145.08,0.02238817
17.3333,145.08,0.02048055
17.8283,145.08,0.01873587
18.3232,145.08,0.01714046
18.8182,145.08,0.01568166
19.3131,145.08,0.01434776
19.8081,145.08,0.01312800
20.3030,145.08,0.01201253
20.7980,145.08,0.01099234
21.2929,145.08,0.01005918
21.7879,145.08,0.00920556
22.2828,145.08,0.00842460
22.7778,145.08,0.00771007
23.2727,145.08,0.00705626
23.7677,145.08,0.00645797
24.2626,145.08,0.00591047
24.7576,145.08,0.00540941
25.2525,145.08,0.00495084
25.7475,145.08,0.00453116
26.2424,145.08,0.00414705
26.7374,145.08,0.00379549
27.2323,145.08,0.00347374
27.7273,145.08,0.00317925
28.2222,145.08,0.00290972
28.7172,145.08,0.00266303
29.2121,145.08,0.00243726
29.7071,145.08,0.00223062
30.2020,145.08,0.00204150
30.6970,145.08,0.00186841
31.1919,145.08,0.00170999
31.6869,145.08,0.00156500
32.1818,145.08,0.00143231
32.6768,145.08,0.00131086
33.1717,145.08,0.00119972
33.6667,145.08,0.00109799
34.1616,145.08,0.00100490
34.6566,145.08,0.00091969
35.1515,145.08,0.00084171
35.6465,145.08,0.00077034
36.1414,145.08,0.00070503
36.6364,145.08,0.00064525
37.1313,145.08,0.00059054
37.6263,145.08,0.00054047
38.1212,145.08,0.00049464
38.6162,145.08,0.00045270
39.1111,145.08,0.00041432
39.6061,145.08,0.00037919
40.1010,145.08,0.00034704
40.5960,145.08,0.00031761
41.0909,145.08,0.00029068
41.5859,145.08,0.00026603
42.0808,145.08,0.00024348
42.5758,145.08,0.00022283
43.0707,145.08,0.00020394
43.5657,145.08,0.00018665
44.0606,145.08,0.00017082
44.5556,145.08,0.00015634
45.0505,145.08,0.00014308
45.5455,145.08,0.00013095
46.0404,145.08,0.00011985
46.5354,145.08,0.00010969
47.0303,145.08,0.00010039
47.5253,145.08,0.00009187
48.0202,145.08,0.00008408
48.5152,145.08,0.00007696
49.0101,145.08,0.00007043
49.5051,145.08,0.00006446
50.0000,145.08,0.00005899
1.0000,159.23,0.67451336
