freq_MHz,T_h4_330um_fres_10.0MHz,T_h4_165um_fres_19.9MHz,T_h4_110um_fres_29.9MHz,T_h4_82um_fres_40.1MHz,T_h4_66um_fres_49.8MHz
40.906977,0.01954873,0.01819231,0.05874014,0.01768844,0.01884702
40.931733,0.02017526,0.01846630,0.07186722,0.01780435,0.01817544
40.956489,0.02088423,0.01877338,0.08972508,0.01794003,0.01756491
40.981245,0.02168793,0.01911615,0.11038272,0.01809625,0.01700850
41.006002,0.02260147,0.01949762,0.12167077,0.01827389,0.01650031
41.030758,0.02364362,0.01992128,0.11116776,0.01847396,0.01603529
41.055514,0.02483788,0.02039121,0.09040611,0.01869766,0.01560913
41.080270,0.02621406,0.02091215,0.07218193,0.01894632,0.01521807
41.105026,0.02781044,0.02148965,0.05875812,0.01922150,0.01485888
41.129782,0.02967686,0.02213024,0.04906547,0.01952496,0.01452874
41.154539,0.03187928,0.02284159,0.04192435,0.01985869,0.01422517
41.179295,0.03450646,0.02363283,0.03651436,0.02022499,0.01394603
41.204051,0.03768007,0.02451483,0.03230477,0.02062646,0.01368941
41.228807,0.04157009,0.02550064,0.02895131,0.02106607,0.01345364
41.253563,0.04641831,0.02660602,0.02622552,0.02154723,0.01323725
41.278320,0.05257295,0.02785016,0.02397156,0.02207384,0.01303894
41.303076,0.06053356,0.02925662,0.02208023,0.02265038,0.01285754
41.327832,0.07097974,0.03085457,0.02047310,0.02328202,0.01269204
41.352588,0.08464082,0.03268049,0.01909255,0.02397474,0.01254154
41.377344,0.10144987,0.03478040,0.01789538,0.02473549,0.01240523
41.402101,0.11776235,0.03721299,0.01684863,0.02557239,0.01228242
41.426857,0.12380588,0.04005380,0.01592676,0.02649493,0.01217248
41.451613,0.11374557,0.04340087,0.01510965,0.02751430,0.01207486
41.476369,0.09582334,0.04738222,0.01438129,0.02864375,0.01198909
41.501125,0.07889856,0.05216473,0.01372876,0.02989906,0.01191476
41.525881,0.06551831,0.05796267,0.01314155,0.03129913,0.01185151
41.550638,0.05536740,0.06503813,0.01261100,0.03286671,0.01179905
41.575394,0.04763816,0.07366970,0.01212994,0.03462940,0.01175713
41.600150,0.04165125,0.08402534,0.01169238,0.03662082,0.01172554
