freq_MHz,h2_opt_um,h2_opt_over_lambda,T_max,T_at_1um,T_at_5um,T_at_20um,T_at_50um
38.679359,0.1000,0.002579,1.04426292,0.18417265,0.03655886,0.00092765,0.00000053
38.837675,0.1000,0.002589,1.05658842,0.17460723,0.03474980,0.00087653,0.00000049
38.995992,0.1000,0.002600,1.07204665,0.17219203,0.03439152,0.00086221,0.00000048
39.154309,0.1000,0.002610,1.09108731,0.17629032,0.03537470,0.00088144,0.00000048
39.312625,0.1000,0.002621,1.11381315,0.18750390,0.03786038,0.00093769,0.00000050
39.470942,0.1000,0.002631,1.13994244,0.20791358,0.04235437,0.00104293,0.00000055
39.629259,0.1000,0.002642,1.16879379,0.24211185,0.05000050,0.00122467,0.00000064
39.787575,0.1000,0.002653,1.19931426,0.30005797,0.06347675,0.00154798,0.00000079
39.945892,0.1000,0.002663,1.23017967,0.40520840,0.09024468,0.00219579,0.00000111
40.104208,0.1000,0.002674,1.25998561,0.61613710,0.15945739,0.00389121,0.00000194
40.262525,0.1000,0.002684,1.28751454,0.96063529,0.41106571,0.00972177,0.00000477
40.420842,0.1000,0.002695,1.31201626,0.82586447,0.21141230,0.00475902,0.00000230
40.579158,0.1000,0.002705,1.33340764,0.53421527,0.11133187,0.00253577,0.00000121
40.737475,0.1000,0.002716,1.35231349,0.38705680,0.07745886,0.00176446,0.00000083
40.895792,0.1000,0.002726,1.36993331,0.31144800,0.06170565,0.00140082,0.00000065
41.054108,0.1000,0.002737,1.38778772,0.27011347,0.05342480,0.00120700,0.00000055
41.212425,0.1000,0.002747,1.40742823,0.24808106,0.04913881,0.00110412,0.00000050
41.370741,0.1000,0.002758,1.43017605,0.23902960,0.04749842,0.00106110,0.00000047
41.529058,0.1000,0.002769,1.45691558,0.24058145,0.04803369,0.00106674,0.00000046
41.687375,0.1000,0.002779,1.48793807,0.25280360,0.05081106,0.00112180,0.00000048
41.845691,0.1000,0.002790,1.52282655,0.27816020,0.05645389,0.00123929,0.00000052
42.004008,0.1000,0.002800,1.56039318,0.32280820,0.06653638,0.00145288,0.00000061
42.162325,0.1000,0.002811,1.59871291,0.40051557,0.08490086,0.00184549,0.00000076
42.320641,0.1000,0.002821,1.63531935,0.54322020,0.12251527,0.00265515,0.00000108
42.478958,0.1000,0.002832,1.66760749,0.81665066,0.22013906,0.00476137,0.00000190
42.637275,0.1000,0.002842,1.69340040,1.10570738,0.38332482,0.00788330,0.00000310
42.795591,0.1000,0.002853,1.71151224,0.85355976,0.19908831,0.00405783,0.00000157
42.953908,0.1000,0.002864,1.72207257,0.58025979,0.11932601,0.00244183,0.00000093
43.112224,0.1000,0.002874,1.72645519,0.43699486,0.08718953,0.00178081,0.00000067
43.270541,0.1000,0.002885,1.72684571,0.36059725,0.07137779,0.00145187,0.00000054
43.428858,0.1000,0.002895,1.72564018,0.31892129,0.06307875,0.00127657,0.00000047
43.587174,0.1000,0.002906,1.72488586,0.29835450,0.05915711,0.00119063,0.00000043
43.745491,0.1000,0.002916,1.72588364,0.29333581,0.05844066,0.00116954,0.00000042
43.903808,0.1000,0.002927,1.72897165,0.30261407,0.06073374,0.00120853,0.00000042
44.062124,0.1000,0.002937,1.73346649,0.32848650,0.06667508,0.00131944,0.00000046
44.220441,0.1000,0.002948,1.73775396,0.37820307,0.07822119,0.00154001,0.00000052
44.378758,0.1000,0.002959,1.73955256,0.46902089,0.10054966,0.00197107,0.00000066
44.537074,0.1000,0.002969,1.73637255,0.64130721,0.14971305,0.00292616,0.00000097
44.695391,0.1000,0.002980,1.72612636,0.95334472,0.28530430,0.00552934,0.00000180
44.853707,0.1000,0.002990,1.70772999,1.07094086,0.31764045,0.00583325,0.00000188
45.012024,0.1000,0.003001,1.68146080,0.73111077,0.15779789,0.00291881,0.00000093
45.170341,0.1000,0.003011,1.64890329,0.50013337,0.10013866,0.00185466,0.00000058
45.328657,0.1000,0.003022,1.61251063,0.37955524,0.07459257,0.00137750,0.00000042
45.486974,0.1000,0.003032,1.57498947,0.31269259,0.06118143,0.00112474,0.00000034
45.645291,0.1000,0.003043,1.53874781,0.27421020,0.05367698,0.00098162,0.00000029
45.803607,0.1000,0.003054,1.50554230,0.25304687,0.04967338,0.00090335,0.00000027
45.961924,0.1000,0.003064,1.47633403,0.24431065,0.04817525,0.00087111,0.00000025
46.120240,0.1000,0.003075,1.45129231,0.24633331,0.04888609,0.00087892,0.00000025
46.278557,0.1000,0.003085,1.42988236,0.25983579,0.05204221,0.00093044,0.00000026
46.436874,0.1000,0.003096,1.41100329,0.28841387,0.05858890,0.00104197,0.00000029
46.595190,0.1000,0.003106,1.39317438,0.34091662,0.07096561,0.00125625,0.00000035
46.753507,0.1000,0.003117,1.37477936,0.43859433,0.09602890,0.00169431,0.00000046
46.911824,0.1000,0.003127,1.35436199,0.63405868,0.15967627,0.00281523,0.00000075
