freq_MHz,T_t0,T_t1,T_t2,T_t3,T_t4,T_t5
22.483656,0.01809624,0.15185079,0.32948190,0.52496565,0.73358558,0.94949190
22.487658,0.01773560,0.14918236,0.32408352,0.51726655,0.72458620,0.94053391
22.491661,0.01738299,0.14656760,0.31878098,0.50966110,0.71562236,0.93152337
22.495664,0.01703864,0.14400788,0.31357759,0.50215700,0.70670681,0.92247499
22.499666,0.01670272,0.14150411,0.30847583,0.49476077,0.69785108,0.91340264
22.503669,0.01637532,0.13905685,0.30347749,0.48747786,0.68906549,0.90431934
22.507672,0.01605647,0.13666634,0.29858374,0.48031273,0.68035925,0.89523723
22.511674,0.01574615,0.13433255,0.29379519,0.47326896,0.67174051,0.88616764
22.515677,0.01544429,0.13205519,0.28911199,0.46634935,0.66321645,0.87712107
22.519680,0.01515082,0.12983380,0.28453385,0.45955597,0.65479331,0.86810722
22.523682,0.01486559,0.12766773,0.28006015,0.45289025,0.64647648,0.85913504
22.527685,0.01458847,0.12555622,0.27568998,0.44635306,0.63827059,0.85021271
22.531688,0.01431928,0.12349836,0.27142214,0.43994479,0.63017951,0.84134775
22.535690,0.01405785,0.12149317,0.26725525,0.43366536,0.62220647,0.83254695
22.539693,0.01380399,0.11953960,0.26318771,0.42751433,0.61435409,0.82381649
22.543696,0.01355749,0.11763652,0.25921783,0.42149091,0.60662444,0.81516193
22.547698,0.01331816,0.11578278,0.25534375,0.41559403,0.59901908,0.80658827
22.551701,0.01308579,0.11397720,0.25156354,0.40982236,0.59153912,0.79809993
22.555704,0.01286018,0.11221856,0.24787521,0.40417437,0.58418527,0.78970087
22.559706,0.01264111,0.11050564,0.24427670,0.39864833,0.57695786,0.78139454
22.563709,0.01242837,0.10883721,0.24076591,0.39324240,0.56985690,0.77318396
22.567712,0.01222178,0.10721207,0.23734075,0.38795457,0.56288211,0.76507172
22.571714,0.01202112,0.10562899,0.23399909,0.38278276,0.55603295,0.75706004
22.575717,0.01182621,0.10408678,0.23073881,0.37772479,0.54930862,0.74915077
22.579720,0.01163685,0.10258426,0.22755779,0.37277844,0.54270817,0.74134546
